puuid,summonerId,summonerName,riotIdGameName,riotIdTagline,participantId,teamId,championId,championName,individualPosition,teamPosition,role,lane,kills,deaths,assists,goldEarned,totalDamageDealtToChampions,totalDamageTaken,visionScore,wardsPlaced,wardsKilled,champExperience,goldSpent,neutralMinionsKilled,totalMinionsKilled,damageDealtToObjectives,turretTakedowns,inhibitorTakedowns,timeCCingOthers,totalHeal,totalTimeSpentDead,killingSprees,KDA_ratio,CS_per_min,Gold_efficiency,DMG_Gold_ratio,Vision_per_min
-OAZUjf-crrdiznPgncr9ZH01LdkJ33b8oKUMsK25JlwwsbCGZeYY2sdt0gZ0RWLXwHGzS55zUQXAw,FQEXaUiAS4kP0AB9HOLAq0KNwavq0Mujs3xcN3w1_NoE9o8,,눈돌아가면다죽임,KR1,1,100,2,Olaf,TOP,TOP,SOLO,TOP,10,7,7,15272,31042,33416,15,8,3,17890,13150,8,212,20761,7,1,16,15847,187,2,2.4285714285714284,6.604361370716511,0.8610529072812991,2.032608695652174,0.4672897196261682
tPBDsQVlo6m0DoIgwhpLuOkiBhCv7rTVicHFmaQb3T1LJd2W2W1xVKtgi9y6z7raD5T0xFgCgG8dig,gYHjUkvzqYvwc1Vn3utjNe_8PS9L1pGOdd59C3JA18UirxPTjCaTX7dtow,,05JUG,TAO,2,100,254,Vi,JUNGLE,JUNGLE,NONE,JUNGLE,10,6,12,15440,34776,46280,17,5,2,18363,14750,171,31,49877,3,2,49,20005,184,2,3.6666666666666665,0.9657320872274143,0.9553108808290155,2.2523316062176164,0.5295950155763239
NQjiWrsIfm0BZvl4F-vtGdo2NTAboVTvabygYe0qTj2S19Sn4eKB6TKRAJnuT26P0qHa_3FOfwMALA,kXtY4r7LtB5yn0c7Ir2e40ZS3gdNxSswu2SX16f4-naAJg,,쿠 로,KR1,3,100,163,Taliyah,MIDDLE,MIDDLE,SOLO,MIDDLE,15,4,13,17699,49107,22022,30,17,3,18742,15700,12,227,14173,6,2,59,1785,130,2,7.0,7.071651090342679,0.8870557658624781,2.7745635346629753,0.9345794392523364
09qyB0Opa-h4PjaK4EQPVNq8JT8PXdaKilojfBHiBjj7IPQebY8hg7nJvLTcPImuXZ2VlSU32AFvYg,oy29AA8VZSVsF5SB_Oz2BgtVk3t1v0hZwU-uEa-bWDs21JiMm49-lVa4fw,,ST ress,1213,4,100,235,Senna,BOTTOM,BOTTOM,CARRY,BOTTOM,3,8,21,14425,37923,26358,31,9,10,16694,13075,4,239,7447,5,1,40,16486,250,0,3.0,7.445482866043613,0.9064124783362218,2.6289774696707107,0.9657320872274143
uSczZ31Vu6M46FmToCVecUXqyelkjF7z73HUWoNvbd874bN9T8MkB9G6y7mCmEkXEHKWKkP_yesqAg,y1jScZETuajnwPnAuEfXQJeUJxpFND8q305woU2KyUMInQKIX65rza3pMw,,DK Bible,롤목사,5,100,12,Alistar,UTILITY,UTILITY,SUPPORT,BOTTOM,1,5,25,9361,14045,30788,97,47,6,15218,7550,0,28,562,5,2,80,19361,119,0,5.2,0.8722741433021807,0.8065377630595022,1.5003738916782394,3.021806853582554
FxvHUBh8RSO0vMEXWNqLVRnL8r9QHmZrvbdLv_kNYdZBziuK_H6Mf74cJqSqkkghueyYMXqYv3Jdyg,8IjDncUft44Eyk_ozhyzeocNy4c7JC80cYVsIwdusNCBmD4,,1 cent top,KR1,6,200,875,Sett,TOP,TOP,SOLO,TOP,5,8,4,11477,25182,38261,24,9,4,14466,11050,0,197,8551,1,0,23,4871,256,1,1.125,6.137071651090342,0.9627951555284482,2.194127385205193,0.7476635514018691
TvzedG_Iv2wGtrHZbOYFsk4FAxHlWLxwaH_xA7a6f07leGMPliL2WooTGwuW9ciWQ5EV6tEsui-upA,uZxmOlPpNcTVmgEtmrD09Nd2n2oWDxrQiKGXnRjHoWjEWFJYqfitqukgIA,,Blaber,KR1,7,200,76,Nidalee,JUNGLE,JUNGLE,NONE,JUNGLE,12,8,7,14590,32501,52762,31,3,8,17013,15150,177,31,27342,1,0,13,26496,329,1,2.375,0.9657320872274143,1.0383824537354351,2.2276216586703224,0.9657320872274143
ietVCTS7Tqi47nsRIhmJoIMtYhIT0rtlALufrc2o03sKfgyIvaWBIdKMS2YO17FqODtYSy010_-dxw,0XbgUu5G0tmbzTeCFhP-BGIFTAPWfbaAuOhziWD_6wZefg,,Hide on bush,KR1,8,200,517,Sylas,MIDDLE,MIDDLE,SOLO,MIDDLE,3,9,5,11129,21970,42088,18,9,4,15843,10300,0,210,3528,1,0,27,6901,336,0,0.8888888888888888,6.5420560747663545,0.925509929014287,1.9741216641207655,0.5607476635514018
HkKfj2Ps_GJYvtBm09JO6rzStnRTxJwk6BWLaWS4tm8J-cMkcxRWpCR6VOfUcUEkYEHlNOeAh2fCrg,NmVbZ_GUhQxV9J-jAn7gx7gjRWur3_JmXpKrra-ApePxwxQ,,토니토니진무,0906,9,200,202,Jhin,BOTTOM,BOTTOM,CARRY,BOTTOM,7,5,7,13607,29636,24392,27,10,7,14782,12500,1,251,5959,1,0,33,5962,184,2,2.8,7.819314641744548,0.9186448151686631,2.17799661938708,0.8411214953271028
yrJE1LZfqI62oJIbkqa9n_0sXXLeXM8mwmGeDosD36RUkjAWCqPvFQS9nqX-6v0OpvN3v6g0jP2B8w,4UL9XGyr2Bb_wINVrs7OE7TlXkTJeE4J-4pDcNbqzWhVOag,,1렙쇼부충사이온,KR1,10,200,14,Sion,UTILITY,UTILITY,SUPPORT,BOTTOM,3,9,11,8604,22022,41911,83,41,5,11719,8050,0,39,0,0,0,55,4273,315,0,1.5555555555555556,1.2149532710280373,0.9356113435611344,2.5595072059507205,2.5856697819314642
