matchId,gameVersion,queueId,gameDuration,championName,teamId,win,winCount,loseCount,kills,deaths,assists,goldEarned,goldSpent,totalDamageDealtToChampions,totalDamageTaken,totalMinionsKilled,neutralMinionsKilled,visionScore,wardsPlaced,wardsKilled,timeCCingOthers,totalHeal,totalTimeSpentDead,killingSprees,damageDealtToObjectives,turretTakedowns,inhibitorTakedowns,champExperience,timePlayed,KDA_ratio,CS_per_min,CS_per_game,Gold_efficiency,DMG_Gold_ratio,Vision_per_min,DMG_per_min
KR_7667898191,15.11.685.5259,420,1926,Olaf,100,True,1,0,10,7,7,15272,13150,31042,33416,212,8,15,8,3,16,15847,187,2,20761,7,1,17890,1926,2.4285714285714284,6.604361370716511,220,0.8610529072812991,2.032608695652174,0.4672897196261682,967.0404984423676
KR_7667898191,15.11.685.5259,420,1926,Vi,100,True,1,0,10,6,12,15440,14750,34776,46280,31,171,17,5,2,49,20005,184,2,49877,3,2,18363,1926,3.6666666666666665,0.9657320872274143,202,0.9553108808290155,2.2523316062176164,0.5295950155763239,1083.3644859813085
KR_7667898191,15.11.685.5259,420,1926,Taliyah,100,True,1,0,15,4,13,17699,15700,49107,22022,227,12,30,17,3,59,1785,130,2,14173,6,2,18742,1926,7.0,7.071651090342679,239,0.8870557658624781,2.7745635346629753,0.9345794392523364,1529.8130841121495
KR_7667898191,15.11.685.5259,420,1926,Senna,100,True,1,0,3,8,21,14425,13075,37923,26358,239,4,31,9,10,40,16486,250,0,7447,5,1,16694,1926,3.0,7.445482866043613,243,0.9064124783362218,2.6289774696707107,0.9657320872274143,1181.4018691588785
KR_7667898191,15.11.685.5259,420,1926,Alistar,100,True,1,0,1,5,25,9361,7550,14045,30788,28,0,97,47,6,80,19361,119,0,562,5,2,15218,1926,5.2,0.8722741433021807,28,0.8065377630595022,1.5003738916782394,3.021806853582554,437.53894080996884
KR_7667898191,15.11.685.5259,420,1926,Sett,200,False,0,1,5,8,4,11477,11050,25182,38261,197,0,24,9,4,23,4871,256,1,8551,1,0,14466,1926,1.125,6.137071651090342,197,0.9627951555284482,2.194127385205193,0.7476635514018691,784.4859813084112
KR_7667898191,15.11.685.5259,420,1926,Nidalee,200,False,0,1,12,8,7,14590,15150,32501,52762,31,177,31,3,8,13,26496,329,1,27342,1,0,17013,1926,2.375,0.9657320872274143,208,1.0383824537354351,2.2276216586703224,0.9657320872274143,1012.4922118380061
KR_7667898191,15.11.685.5259,420,1926,Sylas,200,False,0,1,3,9,5,11129,10300,21970,42088,210,0,18,9,4,27,6901,336,0,3528,1,0,15843,1926,0.8888888888888888,6.5420560747663545,210,0.925509929014287,1.9741216641207655,0.5607476635514018,684.423676012461
KR_7667898191,15.11.685.5259,420,1926,Jhin,200,False,0,1,7,5,7,13607,12500,29636,24392,251,1,27,10,7,33,5962,184,2,5959,1,0,14782,1926,2.8,7.819314641744548,252,0.9186448151686631,2.17799661938708,0.8411214953271028,923.2398753894081
KR_7667898191,15.11.685.5259,420,1926,Sion,200,False,0,1,3,9,11,8604,8050,22022,41911,39,0,83,41,5,55,4273,315,0,0,0,0,11719,1926,1.5555555555555556,1.2149532710280373,39,0.9356113435611344,2.5595072059507205,2.5856697819314642,686.043613707165
KR_7667948824,15.11.685.5259,420,1896,Nidalee,100,True,1,0,8,7,7,16722,15283,42894,56338,251,5,21,8,2,8,23009,267,2,20399,7,1,19839,1896,2.142857142857143,7.943037974683544,256,0.9139457002750867,2.565123789020452,0.6645569620253164,1357.4050632911392
KR_7667948824,15.11.685.5259,420,1896,Rengar,100,True,1,0,13,4,3,17451,13825,32697,35762,47,257,38,12,10,19,24687,148,4,74694,1,1,22206,1896,4.0,1.4873417721518987,304,0.7922182109907742,1.8736462093862816,1.2025316455696202,1034.7151898734178
KR_7667948824,15.11.685.5259,420,1896,Sylas,100,True,1,0,6,5,11,12397,11525,15235,35150,190,0,30,10,4,16,10171,189,2,8826,3,1,16956,1896,3.4,6.012658227848101,190,0.9296604017100911,1.2289263531499557,0.9493670886075949,482.1202531645569
KR_7667948824,15.11.685.5259,420,1896,Ziggs,100,True,1,0,5,5,13,13180,11550,30597,17807,225,2,42,16,5,23,3511,140,1,15610,4,0,17952,1896,3.6,7.120253164556962,227,0.8763277693474962,2.321471927162367,1.3291139240506329,968.2594936708861
KR_7667948824,15.11.685.5259,420,1896,Nautilus,100,True,1,0,2,6,17,9842,9250,8831,20268,43,0,114,47,17,69,2664,200,1,6689,3,0,10730,1896,3.1666666666666665,1.360759493670886,43,0.9398496240601504,0.8972769762243447,3.6075949367088604,279.4620253164557
KR_7667948824,15.11.685.5259,420,1896,Shen,200,False,0,1,4,9,7,11185,10675,28448,42543,201,0,10,6,1,34,3076,322,1,205,0,0,15364,1896,1.2222222222222223,6.360759493670886,201,0.9544032185963344,2.543406347787215,0.3164556962025316,900.253164556962
KR_7667948824,15.11.685.5259,420,1896,Talon,200,False,0,1,8,6,6,13718,13575,24641,35465,31,179,41,9,8,5,13964,221,2,7410,0,0,15763,1896,2.3333333333333335,0.9810126582278481,210,0.989575739903776,1.7962530981192593,1.2974683544303798,779.7784810126582
KR_7667948824,15.11.685.5259,420,1896,Galio,200,False,0,1,5,6,10,12434,11900,23245,30060,245,0,27,8,4,40,3412,148,1,1476,0,0,16326,1896,2.5,7.753164556962025,245,0.9570532411130771,1.8694708058549139,0.8544303797468354,735.6012658227847
KR_7667948824,15.11.685.5259,420,1896,Jhin,200,False,0,1,4,4,12,12795,11650,20877,22212,253,2,24,13,4,25,6112,133,1,2052,0,0,15244,1896,4.0,8.00632911392405,255,0.9105119187182493,1.6316529894490035,0.7594936708860759,660.6645569620252
KR_7667948824,15.11.685.5259,420,1896,Elise,200,False,0,1,6,9,7,9497,8550,16027,29459,30,0,104,47,12,42,3402,246,2,2125,0,0,11516,1896,1.4444444444444444,0.9493670886075949,30,0.9002843003053596,1.6875855533326314,3.291139240506329,507.1835443037974
KR_7667991295,15.11.685.5259,420,101,Teemo,100,False,0,1,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0,0.0,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,MonkeyKing,100,False,0,1,0,0,0,503,500,0,179,0,0,0,1,0,0,112,0,0,0,0,0,0,101,0.0,0.0,0,0.9940357852882704,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Azir,100,False,0,1,0,0,0,524,500,225,0,1,0,0,0,0,0,0,0,0,0,0,0,61,101,0.0,0.594059405940594,1,0.9541984732824428,0.42938931297709926,0.0,133.66336633663366
KR_7667991295,15.11.685.5259,420,101,Ezreal,100,False,0,1,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0,0.0,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Bard,100,False,0,1,0,0,0,503,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,101,0.0,0.0,0,0.9940357852882704,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Irelia,200,True,1,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0,0.0,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Viego,200,True,1,0,0,0,0,503,500,0,239,0,0,0,0,0,0,136,0,0,0,0,0,0,101,0.0,0.0,0,0.9940357852882704,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Sylas,200,True,1,0,0,0,0,503,500,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0,0.9940357852882704,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Kaisa,200,True,1,0,0,0,0,503,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0,0.9940357852882704,0.0,0.0,0.0
KR_7667991295,15.11.685.5259,420,101,Nautilus,200,True,1,0,0,0,0,503,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0,0.7952286282306164,0.0,0.0,0.0
KR_7668007561,15.11.685.5259,420,1384,Lulu,100,False,0,1,2,6,4,6671,5325,11012,15087,94,0,26,10,3,23,1225,146,0,153,1,0,8440,1384,1.0,4.075144508670521,94,0.7982311497526607,1.650727027432169,1.1271676300578035,477.39884393063585
KR_7668007561,15.11.685.5259,420,1384,Viego,100,False,0,1,4,7,6,7957,7833,8140,27460,7,104,25,5,5,14,10024,180,1,17056,1,0,7847,1384,1.4285714285714286,0.30346820809248554,111,0.984416237275355,1.0229986175694357,1.083815028901734,352.8901734104046
KR_7668007561,15.11.685.5259,420,1384,Vladimir,100,False,0,1,1,5,1,7093,6875,9320,25896,157,0,8,7,0,1,14457,144,0,775,0,0,10448,1384,0.4,6.80635838150289,157,0.9692654730015509,1.3139715212181025,0.3468208092485549,404.04624277456645
KR_7668007561,15.11.685.5259,420,1384,Caitlyn,100,False,0,1,6,5,10,12157,11150,21904,14616,197,8,35,13,4,25,2314,127,2,11177,3,0,10631,1384,3.2,8.540462427745664,205,0.917167064242823,1.8017603027062599,1.5173410404624277,949.5953757225434
KR_7668007561,15.11.685.5259,420,1384,Elise,100,False,0,1,6,7,10,7798,7400,12089,17759,12,0,65,32,6,32,1237,127,1,883,1,0,6588,1384,2.2857142857142856,0.5202312138728323,12,0.9489612721210566,1.5502692998204668,2.8179190751445087,524.0895953757225
KR_7668007561,15.11.685.5259,420,1384,Camille,200,True,1,0,4,4,6,12236,9908,16180,22565,205,0,17,7,2,17,5714,99,1,16108,7,1,14606,1384,2.5,8.88728323699422,205,0.8097417456685191,1.3223275580254985,0.7369942196531792,701.4450867052024
