matchId,gameCreation,gameStartTimestamp,gameEndTimestamp,gameDuration,endOfGameResult,gameMode,gameType,gameVersion,queueId,mapId,platformId,tournamentCode,blueWin,redWin
KR_7667898191,1749048666189,1749048680135,1749050606558,1926,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7667948824,1749051420332,1749051439756,1749053336214,1896,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7667991295,1749053926868,1749054170950,1749054271986,101,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7668007561,1749055189049,1749055215772,1749056600148,1384,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7668031665,1749057438230,1749057481878,1749058654556,1172,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7668079655,1749063699144,1749063756472,1749065554419,1798,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7668990305,1749135518184,1749135652770,1749137526859,1874,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7669064080,1749137891812,1749137908766,1749139681675,1773,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7669130874,1749140866476,1749140905268,1749142450637,1545,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7669181716,1749143287895,1749143303588,1749144845278,1541,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7670323990,1749217647268,1749217755185,1749219163519,1408,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7670561488,1749225277905,1749225296525,1749226804034,1507,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7670660881,1749229822268,1749229872703,1749231610896,1738,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7670710614,1749232781489,1749232796792,1749234214513,1417,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7671601006,1749298431059,1749298444631,1749300088454,1644,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7671664141,1749300708977,1749300722452,1749301818836,1096,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7671885689,1749307687150,1749307706683,1749310176171,2469,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,False,True
KR_7672005171,1749311557925,1749311573514,1749312765349,1192,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
KR_7672062200,1749313819112,1749313868174,1749314050133,182,GameComplete,CLASSIC,MATCHED_GAME,15.11.685.5259,420,11,KR,,True,False
